director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,duration,budget,facenumber_in_poster,imdb_score,director_name,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,actor_2_name,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,color,title_year,num_critic_for_reviews,aspect_ratio,movie_facebook_likes
0,0,0,0,103,100000,0,7.7,Lisanne Pajot,,Documentary,Jonathan Blow,Indie Game: The Movie ,16701,0,Phil Fish,Edmund McMillen,movie in title,http://www.imdb.com/title/tt1942884/?ref_=fn_tt_tt_1,23,English,Canada,Not Rated,Color,2012,50,16,8600
0,2,2,0,110,100000,1,4.8,Harry F. Millarde,3000000,Crime|Drama,Stephen Carr,Over the Hill to the Poorhouse ,5,4,Mary Carr,Johnnie Walker,family relationships|gang|idler|poorhouse|thief,http://www.imdb.com/title/tt0011549/?ref_=fn_tt_tt_1,1,,USA,, Black and White,1920,1,1.33,0
0,196,180,163,89,125000,0,7.2,Sai Varadan,,Drama,J.D. Williams,An American in Hollywood ,100,942,Samantha Esteban,Hassan Johnson,place name in title,http://www.imdb.com/title/tt2125430/?ref_=fn_tt_tt_1,3,English,USA,R,Color,2014,3,,72
0,0,0,0,72,150000,0,7,Dena Seidel,4914,Adventure|Documentary,Naderev Sano,Antarctic Edge: 70° South ,123,0,Mike Brett,Hugh Ducklow,,http://www.imdb.com/title/tt2780714/?ref_=fn_tt_tt_1,2,English,USA,,Color,2015,5,,215
0,0,0,0,80,150000,0,7.1,Sara Newens,5858,Documentary,Ariel Hsing,Top Spin ,260,0,Michael Landers,Xinhua Jiang,,http://www.imdb.com/title/tt4219836/?ref_=fn_tt_tt_1,2,English,USA,,Color,2014,18,,116
0,3200,918,402,94,150000,0,4,Warren Sheppard,,Action|Romance|Sport,Tonya Kay,Fight to the Finish ,60,5291,Randy Jay Burrell,Jennifer Hale,fighting|karate,http://www.imdb.com/title/tt3152288/?ref_=fn_tt_tt_1,2,English,USA,PG-13,Color,2016,3,,381
0,58,2,2,93,160000,0,7.4,Michel Orion Scott,155984,Documentary,Temple Grandin,The Horse Boy ,586,62,Simon Baron-Cohen,Rowan Isaacson,horse|journey|mongolia|shaman|travel,http://www.imdb.com/title/tt1333668/?ref_=fn_tt_tt_1,9,English,USA,Unrated,Color,2009,29,1.85,1200
0,581,99,87,95,160000,1,8.1,Michael Roemer,12438,Drama|Romance,Yaphet Kotto,Nothing But a Man ,891,835,Ivan Dixon,Gloria Foster,1960s|father|railroad|town|worker,http://www.imdb.com/title/tt0058414/?ref_=fn_tt_tt_1,26,English,USA,Not Rated, Black and White,1964,24,,363
0,0,0,0,104,168000,1,6.5,Nicolae Constantin Tanase,,Drama,Iulia Ciochina,The World Is Mine ,354,0,Ana Vatamanu,Ana Maria Guran,,http://www.imdb.com/title/tt4707756/?ref_=fn_tt_tt_1,1,Romanian,Romania,,Color,2015,5,,34
0,0,0,0,78,180000,0,8.7,Cary Bell,,Documentary,Abigail Evans,Butterfly Girl ,27,0,Emily Gorell,Stacie Evans,,http://www.imdb.com/title/tt2421956/?ref_=fn_tt_tt_1,1,English,USA,,Color,2014,,,88
0,66,0,0,85,200000,0,7.2,Maurizio Benazzo,381225,Documentary,The Dalai Lama,Short Cut to Nirvana: Kumbh Mela ,131,66,Swami Krishnanad,Jasper Johal,,http://www.imdb.com/title/tt0420723/?ref_=fn_tt_tt_1,13,English,USA,Unrated,Color,2004,15,1.78,30
0,1700,1100,178,86,200000,3,7.5,Justin Dillon,215185,Documentary|History|Music,Ashley Judd,Call + Response ,48,3079,Matisyahu,Daryl Hannah,fair trade|human trafficking|non profit|rockumentary|slavery,http://www.imdb.com/title/tt1301130/?ref_=fn_tt_tt_1,2,English,USA,PG-13,Color,2008,7,,26
0,433,375,178,94,200000,1,8.1,Sharon Greytak,,Drama,Sally Kirkland,Archaeology of a Woman ,15,1112,Elaine Bromka,Alex Emanuel,,http://www.imdb.com/title/tt1702455/?ref_=fn_tt_tt_1,3,English,USA,,Color,2012,3,1.78,66
0,77000,1100,21,101,200000,7,6.4,David G. Evans,2428241,Drama,Michael Joiner,The Grace Card ,2099,78146,Chris Thomas,Louis Gossett Jr.,christian film|forgiveness|hospital|pastor|police,http://www.imdb.com/title/tt1544600/?ref_=fn_tt_tt_1,26,English,USA,PG-13,Color,2010,25,,1700
0,1100,178,32,105,200000,0,6.7,C. Fraser Press,,Comedy|Drama|Music,Edie McClurg,Theresa Is a Mother ,37,1363,Robert Turano,Elaine Bromka,,http://www.imdb.com/title/tt1989646/?ref_=fn_tt_tt_1,1,English,USA,,Color,2012,13,,38
0,270,54,26,109,200000,3,7,Ken Roht,,Drama,Charla Cochran,Perfect Cowboy ,8,364,Sienna Beckman,Joe Lev,country singer|father son relationship|music group,http://www.imdb.com/title/tt3581098/?ref_=fn_tt_tt_1,,English,USA,,Color,2014,,,65
0,1900,254,147,106,225000,1,7,Jon Shear,1027119,Drama,Alan Cumming,Urbania ,2742,2864,Josh Hamilton,Dan Futterman,hot dog bun|needle|new york|rat|tourist,http://www.imdb.com/title/tt0182508/?ref_=fn_tt_tt_1,73,English,USA,R,Color,2000,38,1.85,72
0,0,0,0,66,250000,2,7.8,Sam Martin,,Documentary,Sam Adams,UnDivided ,6,0,Jeff Jacob,Steve Duin,,http://www.imdb.com/title/tt3564748/?ref_=fn_tt_tt_1,1,English,USA,PG,Color,2013,1,,53
0,991,575,62,76,250000,1,6.4,Emma-Kate Croghan,212285,Comedy|Romance,Radha Mitchell,Love and Other Catastrophes ,1727,1661,Matt Day,Frances O'Connor,film school|love|medical student|student|university,http://www.imdb.com/title/tt0116931/?ref_=fn_tt_tt_1,21,English,Australia,R,Color,1996,21,,46
0,119,24,5,81,250000,0,6.3,Hilary Brougher,18195,Sci-Fi,James Urbaniak,The Sticky Fingers of Time ,336,154,Terumi Matthews,Samantha Buck,future|nonlinear timeline|time travel|title directed by female|writer,http://www.imdb.com/title/tt0127302/?ref_=fn_tt_tt_1,7,English,USA,, Black and White,1997,8,1.85,67
0,1100,250,89,100,250000,2,6.7,Piyush Dinker Pandya,902835,Comedy|Drama|Romance,Kal Penn,American Desi ,1489,1554,Rizwan Manji,Purva Bedi,college|desi|heritage|india|indian american,http://www.imdb.com/title/tt0203289/?ref_=fn_tt_tt_1,40,English,USA,Unrated,Color,2001,9,1.85,133
0,2400,1300,431,108,250000,3,7.1,Zoran Lisinac,,Comedy|Music|Romance,Michael Madsen,Along the Roadside ,330,4787,Matthew Emerick,Alejandro Patiño,,http://www.imdb.com/title/tt2290113/?ref_=fn_tt_tt_1,2,English,USA,,Color,2013,17,1.85,231
0,1300,569,553,90,300000,0,4.3,Daniel Columbie,,Action|Crime|Drama,Julie Kendall,Amidst the Devil's Wings ,28,2761,Nicholas Simmons,Keri Maletto,,http://www.imdb.com/title/tt3976258/?ref_=fn_tt_tt_1,,English,USA,,Color,2014,,,17
0,685,665,309,95,300000,3,4.8,Bruce Dellis,2468,Thriller,Tatyana Ali,Locker 13 ,241,2048,Jon Polito,Ricky Schroder,digit in title|latino|life or death|philosophy|supernatural,http://www.imdb.com/title/tt1241226/?ref_=fn_tt_tt_1,5,English,USA,R,Color,2014,10,1.85,261
0,1500,1200,471,96,300000,0,4.3,Al Franklin,,Horror,Jacqui Holland,Teeth and Blood ,24,4099,Marshal Hilton,Danielle Vega,blood|teeth,http://www.imdb.com/title/tt1991199/?ref_=fn_tt_tt_1,2,English,USA,,Color,2015,,16,85
0,246,29,23,79,350000,0,4.1,Sharron Miller,,Horror,Bernard Fox,Alien Zone ,440,345,Charles Aidman,Elizabeth MacRae,affair|child murderer|mortician|strangulation|supernatural power,http://www.imdb.com/title/tt0072626/?ref_=fn_tt_tt_1,21,English,USA,PG,Color,1978,8,,44
0,6300,1500,502,90,350000,0,3.2,Babar Ahmed,,Action|Thriller,Eric Roberts,Royal Kill ,476,8489,Lalaine,Pat Morita,assassin|female assassin|kingdom|martial arts|mission,http://www.imdb.com/title/tt0421237/?ref_=fn_tt_tt_1,18,English,USA,PG-13,Color,2009,8,,53
0,1700,1400,196,98,350000,2,3.4,Chad Kapper,,Family|Sci-Fi,Bruno Gunn,Rotor DR1 ,209,3299,Tom E. Nicholson,Rick Montgomery Jr.,drone|playing with gun|post apocalypse|road trip|working class family,http://www.imdb.com/title/tt4162992/?ref_=fn_tt_tt_1,8,English,USA,,Color,2015,4,2.35,240
0,0,0,0,105,400000,3,7.7,Johanna Schwartz,,Documentary,Aliou Touré,They Will Have to Kill Us First ,74,0,Khaira Arby,Garba Touré,,http://www.imdb.com/title/tt4333662/?ref_=fn_tt_tt_1,2,French,UK,,Color,2015,22,,34
0,8,2,0,52,450000,0,8.2,Joe Kenemore,,Documentary,Bob Proctor,Rise of the Entrepreneur: The Search for a Better Way ,78,10,Eric Worre,Jack Canfield,business|entrepreneur|network marketing,http://www.imdb.com/title/tt4273494/?ref_=fn_tt_tt_1,10,English,USA,G,Color,2014,,,460
0,873,469,304,86,450000,1,6.8,Matthew Watts,,Comedy|Romance,Jennifer Lafleur,Mutual Friends ,64,2830,Michael Stahl-David,Cheyenne Jackson,bromance|manhattan new york city|new york city|photograph|surprise,http://www.imdb.com/title/tt2112209/?ref_=fn_tt_tt_1,3,English,USA,,Color,2013,3,,31
0,0,0,0,82,500000,1,6.8,Catherine Gund,21199,Action|Biography|Documentary|Sport,Elizabeth Streb,Born to Fly: Elizabeth Streb vs. Gravity ,40,0,Laura Flanders,Sarah Callan,three word title,http://www.imdb.com/title/tt2246526/?ref_=fn_tt_tt_1,10,English,USA,,Color,2014,10,,44
0,0,0,0,83,500000,6,6.4,Blaz Zavrsnik,,Comedy,Dario Nozic Serini,Julija in alfa Romeo ,86,0,Andrej Nahtigal,Spela Colja,,http://www.imdb.com/title/tt4374230/?ref_=fn_tt_tt_1,2,Slovenian,Slovenia,,Color,2015,2,2.35,18
0,385,169,53,84,500000,2,5.2,Luke Dye,,Family,Mike Stanley,The Little Ponderosa Zoo ,15,683,Jamison Stalsworth,Jeff Delaney,,http://www.imdb.com/title/tt3846442/?ref_=fn_tt_tt_1,1,English,USA,,Color,2016,1,16,9
0,6500,342,79,88,500000,0,7.1,Molly Bernstein,151389,Documentary,Steve Martin,Deceptive Practice: The Mysteries and Mentors of Ricky Jay ,774,6983,Ricky Jay,David Mamet,stage magician,http://www.imdb.com/title/tt2654360/?ref_=fn_tt_tt_1,7,English,USA,,Color,2012,39,,590
0,2200,1300,322,90,500000,3,6.6,Jack Heller,,Mystery|Thriller,Scott Eastwood,Enter Nowhere ,5025,4130,Shaun Sipos,Sara Paxton,cabin|going in circles|pac man|stranger|woods,http://www.imdb.com/title/tt1631707/?ref_=fn_tt_tt_1,45,English,USA,R,Color,2011,26,,701
0,6100,472,185,91,500000,2,6.5,Sol Tryon,12055,Comedy,Jesse Eisenberg,The Living Wake ,739,7147,Ann Dowd,Jim Gaffigan,artist|black comedy,http://www.imdb.com/title/tt0489212/?ref_=fn_tt_tt_1,10,English,USA,PG-13,Color,2007,28,,339
0,399,169,59,93,500000,1,6.8,Joseph Dorman,906666,Documentary,Rachel Dratch,Sholem Aleichem: Laughing in the Darkness ,154,660,Jason Kravits,Peter Riegert,jewish identity,http://www.imdb.com/title/tt1976608/?ref_=fn_tt_tt_1,5,English,USA,Unrated,Color,2011,29,16,287
0,1600,935,709,97,500000,3,5.4,Matt Jackson,,Comedy|Horror,Doug Jones,Love in the Time of Monsters ,143,3950,Paul Elia,Kane Hodder,bigfoot|love|monster|sasquatch|tourist,http://www.imdb.com/title/tt2403415/?ref_=fn_tt_tt_1,5,English,USA,,Color,2014,9,,194
0,69,34,17,101,500000,0,6,Kurt Hale,1111615,Comedy|Crime|Family,Kirby Heyborne,The R.M. ,651,155,Curt Doussett,Big Budah,latter day saints|missionary|pickup truck|police|video camera,http://www.imdb.com/title/tt0341540/?ref_=fn_tt_tt_1,34,English,USA,PG,Color,2003,3,,44
0,159,15,15,101,500000,1,6.9,Fernando Baez Mella,,Crime|Drama,Manny Perez,The King of Najayo ,197,206,Claudette Lalí,Christian Alvarez,,http://www.imdb.com/title/tt2275671/?ref_=fn_tt_tt_1,1,Spanish,Dominican Republic,R,Color,2012,1,16,126
0,69,24,15,102,500000,0,6.4,Kurt Hale,1250798,Comedy|Drama|Romance,Kirby Heyborne,The Singles Ward ,1099,161,Daryn Tufts,Lincoln Hoppe,church|love|marriage|mormon|single,http://www.imdb.com/title/tt0306069/?ref_=fn_tt_tt_1,53,English,USA,PG,Color,2002,5,,43
0,595,412,271,90,600000,0,8,Lance McDaniel,,Action|Drama|Thriller,Russell Wong,Light from the Darkroom ,6,1754,Lymari Nadal,Steven Michael Quezada,china|faith|panama|photography|suspense,http://www.imdb.com/title/tt3130704/?ref_=fn_tt_tt_1,1,English,USA,PG-13,Color,2014,,,9
0,23,20,20,103,600000,4,5.6,Gene Teigland,23616,Mystery|Thriller,Kendyl Joi,Arnolds Park ,94,85,Tac Fitzgerald,Matthew Feeney,,http://www.imdb.com/title/tt1074931/?ref_=fn_tt_tt_1,4,English,USA,PG-13,Color,2007,,1.78,11
0,1000,338,21,71,650000,1,7.4,Bill Benenson,,Documentary,Alfre Woodard,The Hadza: Last of the First ,5,1359,Jane Goodall,Dave Fennoy,east africa|hunter gatherer|indigenous|rift valley|swahili,http://www.imdb.com/title/tt2139721/?ref_=fn_tt_tt_1,1,English,USA,,Color,2014,1,,5
0,752,282,236,107,700000,4,6.5,Jennifer Wynne Farmer,10508,Drama,Irene Bedard,Naturally Native ,103,1763,Max Gail,Akima,cosmetics|female protagonist|native american|native american protagonist|sister sister relationship,http://www.imdb.com/title/tt0133117/?ref_=fn_tt_tt_1,6,English,USA,PG-13,Color,1998,2,,102
0,2500,696,320,91,750000,3,4.9,H.M. Coakley,,Crime|Drama|Thriller,Sean Faris,Adulterers ,514,3710,Steffinnie Phrommany,Mehcad Brooks,cheating husband|female nudity|male nudity|male rear nudity|revenge,http://www.imdb.com/title/tt4044464/?ref_=fn_tt_tt_1,1,English,USA,,Color,2015,8,2.35,158
0,24,5,0,83,800000,0,7.2,Jorge Gaggero,,Drama,Norma Aleandro,Live-In Maid ,772,29,Claudia Lapacó,Hilda Bernard,buenos aires argentina|economics|housekeeper|maid|servant,http://www.imdb.com/title/tt0356453/?ref_=fn_tt_tt_1,11,Spanish,Argentina,Unrated,Color,2004,25,,83
0,465,140,102,88,850000,1,7.3,Charles Herman-Wurmfeld,442638,Comedy|Romance|Sport,John Enos III,The Hammer ,5489,897,Adam Carolla,Rian Bishop,birthday|boxing|coach|gym|olympics,http://www.imdb.com/title/tt0814130/?ref_=fn_tt_tt_1,23,English,USA,R,Color,2007,73,,337
0,940,188,167,95,850000,2,7.4,Daniel Davila,,Drama,Martin Landau,Harrison Montgomery ,59,1484,Diane Baker,Melora Walters,abusive relationship|character name in title|magic|san francisco california|tenderloin san francisco,http://www.imdb.com/title/tt0870118/?ref_=fn_tt_tt_1,1,English,USA,,Color,2008,5,1.78,18
0,0,0,0,78,900000,1,6.7,Mariette Monpierre,,Drama,Stana Roumillac,Elza ,19,0,Teddy Doloir,Christophe Cherki,foreign|french,http://www.imdb.com/title/tt1852001/?ref_=fn_tt_tt_1,2,French,France,,Color,2011,2,16,24
0,918,100,83,97,900000,0,6,Cassandra Nicolaou,,Drama|Thriller,Katharine Isabelle,Show Me ,369,1163,Gabriel Hogan,Michelle Nolden,bathtub|implied incest|lesbian|squeegee|tied to a chair,http://www.imdb.com/title/tt0414510/?ref_=fn_tt_tt_1,5,French,Canada,R,Color,2004,10,1.78,12
0,2700,1300,56,83,913000,0,7.1,Sanjay Rawal,,Documentary|News,Forest Whitaker,Food Chains ,265,4104,Alma Martinez,Eva Longoria,two word title,http://www.imdb.com/title/tt2141739/?ref_=fn_tt_tt_1,3,English,USA,,Color,2014,9,,489
0,1100,696,371,87,950000,1,5.5,Blair Erickson,,Horror|Thriller,Ted Levine,Banshee Chapter ,6265,2718,Katia Winter,Monique Candelaria,experiment|lsd|missing friend|mk ultra|radio broadcast,http://www.imdb.com/title/tt2011276/?ref_=fn_tt_tt_1,56,English,Germany,R,Color,2013,78,,2000
0,1500,262,163,78,1000000,0,6.1,Eric Nicholas,10018,Crime|Drama|Thriller,Colin Hanks,Alone with Her ,3228,2009,Ana Claudia Talancón,Jordana Spiro,female nudity|female pubic hair|masturbation|panties|pubic hair,http://www.imdb.com/title/tt0472259/?ref_=fn_tt_tt_1,31,English,USA,Not Rated, Black and White,2006,71,1.85,244
0,1300,975,645,81,1000000,0,6.9,Hal Haberman,6387,Comedy|Drama|Sci-Fi,Josh Peck,Special ,4862,3994,Paul Blackthorne,Michael Rapaport,dream sequence|locked in a room|looking at self in mirror|medication|superhero,http://www.imdb.com/title/tt0479162/?ref_=fn_tt_tt_1,37,English,USA,R,Color,2006,56,1.85,1600
0,2300,356,110,89,1000000,1,6.2,Robert D. Webb,,Drama|Romance|Western,Elvis Presley,Love Me Tender ,2636,3131,Neville Brand,James Drury,army|civil war|robbery|soldier|train,http://www.imdb.com/title/tt0049452/?ref_=fn_tt_tt_1,36,English,USA,, Black and White,1956,39,2.35,365
0,1000,618,171,90,1000000,5,6.1,Charlie Levi,,Drama,Joe Mantegna,Childless ,33,1996,Diane Venora,Barbara Hershey,,http://www.imdb.com/title/tt0867270/?ref_=fn_tt_tt_1,,English,USA,R,Color,2008,,,3
0,2400,1500,1200,90,1000000,2,5.4,Jeffrey St. Jules,,Drama|Musical|Sci-Fi,Peter Stormare,Bang Bang Baby ,137,6431,Jane Levy,Justin Chatwin,,http://www.imdb.com/title/tt2655734/?ref_=fn_tt_tt_1,16,English,Canada,,Color,2014,16,,48
0,3100,898,395,90,1000000,1,5.7,Stefan C. Schaefer,,Comedy|Drama|Romance,Michael Monteiro,My Last Day Without You ,982,5216,Marlene Forte,Nicole Beharie,business trip|german|love|new york|singer songwriter,http://www.imdb.com/title/tt1679248/?ref_=fn_tt_tt_1,12,English,USA,,Color,2011,21,1.66,370
0,3700,20,8,93,1000000,0,6.8,Kief Davidson,100240,Documentary,Jason Bateman,A Lego Brickumentary ,1220,3728,Brian Whitaker,G.W. Krauss,artist|denmark|lego|toy|toy company,http://www.imdb.com/title/tt3214286/?ref_=fn_tt_tt_1,11,English,Denmark,G,Color,2014,43,,1900
0,335,334,177,96,1000000,2,5.6,Robert Heath,,Horror|Mystery,David Oakes,Truth or Die ,6513,1226,Jennie Jacques,Alexander Vlahos,cabin in the woods|drinking acid|introvert|lesbian kiss|truth or dare,http://www.imdb.com/title/tt1838722/?ref_=fn_tt_tt_1,41,English,UK,Not Rated,Color,2012,40,2.35,968
0,378,321,117,97,1000000,1,6.7,Charles Herman-Wurmfeld,7022940,Comedy|Drama|Romance,Scott Cohen,Kissing Jessica Stein ,14018,1173,Brian Stepanek,Jennifer Westfeldt,friend|friendship|journalist|new york city|personal ad,http://www.imdb.com/title/tt0264761/?ref_=fn_tt_tt_1,190,English,USA,R,Color,2001,110,1.85,682
0,639,361,94,97,1000000,2,1.9,A. Raven Cruz,,Action|Adventure|Comedy|Fantasy|Sci-Fi,Scott Levy,The Helix... Loaded ,534,1188,Jennifer Sky,Vanilla Ice,cnn reporter|ellipsis in title|matrix|punctuation in title|secret agent,http://www.imdb.com/title/tt0401462/?ref_=fn_tt_tt_1,9,English,USA,R,Color,2005,3,1.78,128
0,1600,1400,363,99,1000000,2,6.2,Randall Rubin,,Crime|Drama|Thriller,Edward Furlong,Jimmy and Judy ,1420,3997,Nicole Randall Johnson,William Sadler,police|revenge|sex|suburb|video camera,http://www.imdb.com/title/tt0425151/?ref_=fn_tt_tt_1,26,English,USA,R,Color,2006,23,,138
0,1200,844,625,100,1000000,1,3.6,José Luis Valenzuela,428535,Comedy|Romance,Scott Bakula,Luminarias ,505,3489,Lupe Ontiveros,Cheech Marin,divorce|friend|jewish|lent|restaurant,http://www.imdb.com/title/tt0160498/?ref_=fn_tt_tt_1,32,English,USA,R,Color,2000,13,,24
0,1100,657,608,111,1000000,0,5.3,Jonathan Meyers,,Drama,Armand Assante,A Fine Step ,207,3777,Luke Perry,Justin Baldoni,,http://www.imdb.com/title/tt1604100/?ref_=fn_tt_tt_1,1,,USA,PG,,2014,1,,212
0,12,0,0,76,1100000,0,2.6,Joe Marino,,Horror,Piero Maggiò,The Vatican Exorcisms ,332,12,Joe Marino,Anella Vastola,,http://www.imdb.com/title/tt3043194/?ref_=fn_tt_tt_1,10,English,Italy,R,Color,2013,9,2.35,200
0,202,47,30,109,1100000,0,7,Andrew Steggall,,Drama|Family|Romance,Juliet Stevenson,Departure ,162,283,Niamh Cusack,Alex Lawther,france|gay|language|male masturbation|masturbation,http://www.imdb.com/title/tt2248739/?ref_=fn_tt_tt_1,5,English,UK,,Color,2015,29,1.85,75
0,380,91,63,84,1200000,0,3.8,Brenton Spencer,,Action|Horror|Mystery|Thriller,Christie Burke,Crowsnest ,1321,630,Chelsey Reist,Victor Zinck Jr.,forest|found footage|lost|murder|road trip,http://www.imdb.com/title/tt2180333/?ref_=fn_tt_tt_1,51,English,Canada,R,Color,2012,22,,238
0,49000,9800,3100,85,1200000,10,6.2,James David Pasternak,7826,Comedy|Documentary,Robin Williams,Certifiably Jonathan ,132,68784,Jeffrey Tambor,Rob Reiner,las vegas nevada|museum|reference to mr. rogers|reference to vincent van gogh|talking about suicide,http://www.imdb.com/title/tt0976025/?ref_=fn_tt_tt_1,2,English,USA,,Color,2007,17,,87
0,268,44,3,88,1200000,0,6.1,Kurt Voss,58936,Comedy|Music,Lemmy,Down and Out with the Dolls ,91,318,Zoë Poledouris,Coyote Shivers,female bassist|female drummer|female guitarist|female singer|portland oregon,http://www.imdb.com/title/tt0283323/?ref_=fn_tt_tt_1,4,English,USA,R,Color,2001,12,1.78,27
0,1600,721,134,99,1200000,2,4.5,Justin Thomas Ostensen,,Thriller,Edward Furlong,Below Zero ,652,2462,Kristin Booth,Michael Berryman,,http://www.imdb.com/title/tt1641388/?ref_=fn_tt_tt_1,11,English,Canada,R,Color,2011,18,,161
0,4100,2900,1900,100,1200000,1,4.2,Dylan Bank,,Horror,Robert Loggia,Bleeding Hearts ,71,14210,Tony Todd,Richard Lounello,bare breasts|bra and panties|nudity|syringe,http://www.imdb.com/title/tt2622294/?ref_=fn_tt_tt_1,2,English,USA,,Color,2015,7,,242
0,3,2,0,110,1200000,3,7.2,Tom Sanchez,3830,Comedy|Drama,Nataniel Sánchez,The Knife of Don Juan ,27,5,Juan Carlos Montoya,Antonio Arrué,,http://www.imdb.com/title/tt1349485/?ref_=fn_tt_tt_1,1,Spanish,USA,,Color,2013,1,,75
0,8900,883,655,105,1250000,0,7.1,Robert M. Young,,Western,Edward James Olmos,The Ballad of Gregorio Cortez ,39,12064,Bruce McGill,Barry Corbin,,http://www.imdb.com/title/tt3551840/?ref_=fn_tt_tt_1,2,English,USA,,Color,1982,,,32
0,31,24,3,89,1300000,0,7,Claudia Sainte-Luce,11278,Comedy|Drama,Ximena Ayala,The Amazing Catfish ,1229,58,José Manuel Orozco Angulo,Vera Wilson,actress shares first name with character|appendicitis|hospital|loss of mother|supermarket,http://www.imdb.com/title/tt2414046/?ref_=fn_tt_tt_1,2,Spanish,Mexico,,Color,2013,50,,407
0,35000,516,511,103,1300000,1,5.2,Tyler Oliver,,Horror|Romance|Thriller,Bella Thorne,Forget Me Not ,4866,38121,Christopher Atkins,Chloe Bridges,,http://www.imdb.com/title/tt1147684/?ref_=fn_tt_tt_1,38,English,USA,R,Color,2009,24,2.35,969
0,12,5,5,89,1400000,0,6.1,Joel Anderson,,Drama|Horror|Mystery|Thriller,Talia Zucker,Lake Mungo ,9465,29,Martin Sharpe,Rosie Traynor,ghost|lake|parapsychologist|psychic|secret,http://www.imdb.com/title/tt0816556/?ref_=fn_tt_tt_1,85,English,Australia,R,Color,2008,95,1.85,2300
0,533,323,164,95,1400000,5,5.8,Pascal Arnold,18435,Drama,Karl E. Landler,One to Another ,1010,1082,Pierre Perrier,Lizzie Brocheré,fellatio|female frontal nudity|male frontal nudity|nude sunbathing|orgy,http://www.imdb.com/title/tt0486751/?ref_=fn_tt_tt_1,15,French,France,Unrated,Color,2006,14,1.85,104
